,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl,Player
7,2020-21,28,UTA,NBA,C,71,71,2187,391,579,0.675,0,4,0.0,391,575,0.68,0.675,233,374,0.623,240,720,960,89,40,190,118,163,1015,,,"
Rudy Gobert
"
8,2021-22,29,UTA,NBA,C,66,66,2120,362,508,0.713,0,4,0.0,362,504,0.718,0.713,303,439,0.69,241,727,968,72,45,137,119,176,1027,,,"
Rudy Gobert
"
0,2011-12,19,CLE,NBA,PG,51,51,1558,350,747,0.469,73,183,0.399,277,564,0.491,0.517,171,196,0.872,44,147,191,275,54,20,160,110,944,,0.0,"
Kyrie Irving
"
1,2012-13,20,CLE,NBA,PG,59,59,2048,484,1070,0.452,109,279,0.391,375,791,0.474,0.503,248,290,0.855,34,182,216,350,89,21,191,146,1325,,0.0,"
Kyrie Irving
"
2,2013-14,21,CLE,NBA,PG,71,71,2496,532,1237,0.43,123,344,0.358,409,893,0.458,0.48,291,338,0.861,52,207,259,433,108,23,190,163,1478,,1.0,"
Kyrie Irving
"
3,2014-15,22,CLE,NBA,PG,75,75,2730,578,1235,0.468,157,378,0.415,421,857,0.491,0.532,315,365,0.863,55,182,237,389,114,20,186,146,1628,,0.0,"
Kyrie Irving
"
4,2015-16,23,CLE,NBA,PG,53,53,1667,394,879,0.448,84,262,0.321,310,617,0.502,0.496,169,191,0.885,44,113,157,249,56,18,124,107,1041,,0.0,"
Kyrie Irving
"
5,2016-17,24,CLE,NBA,PG,72,72,2525,671,1420,0.473,177,441,0.401,494,979,0.505,0.535,297,328,0.905,52,178,230,418,83,24,180,157,1816,,0.0,"
Kyrie Irving
"
6,2017-18,25,BOS,NBA,PG,60,60,1931,534,1087,0.491,166,407,0.408,368,680,0.541,0.568,232,261,0.889,33,194,227,306,65,17,140,122,1466,,0.0,"
Kyrie Irving
"
7,2018-19,26,BOS,NBA,PG,67,67,2214,604,1241,0.487,174,434,0.401,430,807,0.533,0.557,214,245,0.873,71,264,335,464,103,34,172,167,1596,,1.0,"
Kyrie Irving
"
8,2019-20,27,BRK,NBA,PG,20,20,658,199,416,0.478,56,142,0.394,143,274,0.522,0.546,94,102,0.922,22,81,103,128,27,10,52,53,548,,1.0,"
Kyrie Irving
"
9,2020-21,28,BRK,NBA,PG,54,54,1886,549,1086,0.506,152,378,0.402,397,708,0.561,0.576,201,218,0.922,52,205,257,324,76,37,130,140,1451,,0.0,"
Kyrie Irving
"
10,2021-22,29,BRK,NBA,PG,29,29,1091,289,616,0.469,100,239,0.418,189,377,0.501,0.55,118,129,0.915,16,111,127,167,41,17,73,81,796,,0.0,"
Kyrie Irving
"
0,2012-13,19,WAS,NBA,SG,56,46,1745,282,687,0.41,91,236,0.386,191,451,0.424,0.477,125,159,0.786,43,168,211,137,50,29,90,113,780,,0.0,"
Bradley Beal
"
1,2013-14,20,WAS,NBA,SG,73,73,2530,481,1149,0.419,138,343,0.402,343,806,0.426,0.479,149,189,0.788,54,219,273,243,71,18,128,153,1249,,0.0,"
Bradley Beal
"
2,2014-15,21,WAS,NBA,SG,63,59,2107,363,851,0.427,106,259,0.409,257,592,0.434,0.489,130,166,0.783,57,184,241,194,76,18,123,136,962,,0.0,"
Bradley Beal
"
3,2015-16,22,WAS,NBA,SG,55,35,1708,359,799,0.449,105,271,0.387,254,528,0.481,0.515,135,176,0.767,41,147,188,162,54,11,112,117,958,,0.0,"
Bradley Beal
"
4,2016-17,23,WAS,NBA,SG,77,77,2684,637,1322,0.482,223,552,0.404,414,770,0.538,0.566,282,342,0.825,53,187,240,267,83,21,156,169,1779,,0.0,"
Bradley Beal
"
5,2017-18,24,WAS,NBA,SG,82,82,2977,683,1484,0.46,199,530,0.375,484,954,0.507,0.527,292,369,0.791,61,302,363,373,96,36,214,160,1857,,0.0,"
Bradley Beal
"
6,2018-19,25,WAS,NBA,SG,82,82,3028,764,1609,0.475,209,596,0.351,555,1013,0.548,0.54,362,448,0.808,89,322,411,448,121,58,224,226,2099,,2.0,"
Bradley Beal
"
7,2019-20,26,WAS,NBA,SG,57,57,2053,593,1303,0.455,170,481,0.353,423,822,0.515,0.52,385,457,0.842,52,190,242,347,71,23,194,126,1741,,0.0,"
Bradley Beal
"
8,2020-21,27,WAS,NBA,SG,60,60,2147,670,1382,0.485,130,373,0.349,540,1009,0.535,0.532,408,459,0.889,72,211,283,265,69,22,187,140,1878,,0.0,"
Bradley Beal
"
9,2021-22,28,WAS,NBA,SG,40,40,1439,348,771,0.451,63,210,0.3,285,561,0.508,0.492,169,203,0.833,38,151,189,265,36,15,135,95,928,,0.0,"
Bradley Beal
"
0,2015-16,20,NYK,NBA,PF,72,72,2047,373,886,0.421,81,243,0.333,292,643,0.454,0.467,201,240,0.838,132,394,526,94,53,134,121,205,1028,,,"
Kristaps Porziņģis
"
1,2016-17,21,NYK,NBA,PF,66,65,2164,443,985,0.45,112,314,0.357,331,671,0.493,0.507,198,252,0.786,111,364,475,97,47,129,118,244,1196,,,"
Kristaps Porziņģis
"
2,2017-18,22,NYK,NBA,PF,48,48,1553,390,889,0.439,90,228,0.395,300,661,0.454,0.489,218,275,0.793,62,254,316,57,36,115,93,141,1088,,,"
Kristaps Porziņģis
"
3,2019-20,24,DAL,NBA,C,57,57,1814,398,932,0.427,142,403,0.352,256,529,0.484,0.503,226,283,0.799,100,440,540,102,41,115,92,185,1164,,,"
Kristaps Porziņģis
"
4,2020-21,25,DAL,NBA,C,43,43,1327,325,683,0.476,97,258,0.376,228,425,0.536,0.547,118,138,0.855,82,299,381,68,20,58,51,115,865,,,"
Kristaps Porziņģis
"
5,2021-22,26,TOT,NBA,PF,51,51,1481,352,767,0.459,78,252,0.31,274,515,0.532,0.51,248,286,0.867,102,309,411,119,37,84,81,137,1030,,,"
Kristaps Porziņģis
"
6,2021-22,26,DAL,NBA,PF,34,34,1002,229,508,0.451,49,173,0.283,180,335,0.537,0.499,147,170,0.865,64,197,261,69,25,59,53,88,654,,,"
Kristaps Porziņģis
"
7,2021-22,26,WAS,NBA,PF,17,17,479,123,259,0.475,29,79,0.367,94,180,0.522,0.531,101,116,0.871,38,112,150,50,12,25,28,49,376,,,"
Kristaps Porziņģis
"
0,2015-16,19,PHO,NBA,SG,76,51,2108,367,867,0.423,99,289,0.343,268,578,0.464,0.48,215,256,0.84,27,160,187,200,44,20,160,225,1048,,,"
Devin Booker
"
1,2016-17,20,PHO,NBA,SG,78,78,2730,606,1431,0.423,147,405,0.363,459,1026,0.447,0.475,367,441,0.832,46,203,249,268,72,21,241,242,1726,,,"
Devin Booker
"
2,2017-18,21,PHO,NBA,SG,54,54,1865,455,1054,0.432,147,384,0.383,308,670,0.46,0.501,289,329,0.878,26,218,244,253,47,14,194,168,1346,,,"
Devin Booker
"
3,2018-19,22,PHO,NBA,SG,64,64,2242,586,1255,0.467,135,414,0.326,451,841,0.536,0.521,393,454,0.866,39,226,265,433,56,13,264,200,1700,,,"
Devin Booker
"
4,2019-20,23,PHO,NBA,SG,70,70,2512,627,1283,0.489,141,398,0.354,486,885,0.549,0.544,468,509,0.919,29,268,297,456,49,18,264,213,1863,,,"
Devin Booker
"
5,2020-21,24,PHO,NBA,SG,67,67,2270,623,1287,0.484,126,371,0.34,497,916,0.543,0.533,340,392,0.867,34,247,281,289,53,16,207,181,1712,,,"
Devin Booker
"
6,2021-22,25,PHO,NBA,SG,68,68,2345,662,1421,0.466,183,478,0.383,479,943,0.508,0.53,315,363,0.868,45,297,342,329,77,26,162,180,1822,,,"
Devin Booker
"
0,2015-16,20,MIN,NBA,C,82,82,2627,625,1153,0.542,30,88,0.341,595,1065,0.559,0.555,223,275,0.811,229,629,858,161,58,138,183,245,1503,,0.0,"
Karl-Anthony Towns
"
1,2016-17,21,MIN,NBA,C,82,82,3030,802,1480,0.542,101,275,0.367,701,1205,0.582,0.576,356,428,0.832,296,711,1007,220,56,103,212,241,2061,,1.0,"
Karl-Anthony Towns
"
2,2017-18,22,MIN,NBA,C,82,82,2918,639,1172,0.545,120,285,0.421,519,887,0.585,0.596,345,402,0.858,238,774,1012,199,64,115,159,285,1743,,0.0,"
Karl-Anthony Towns
"
3,2018-19,23,MIN,NBA,C,77,77,2545,681,1314,0.518,142,355,0.4,539,959,0.562,0.572,376,450,0.836,263,691,954,259,67,125,240,292,1880,,0.0,"
Karl-Anthony Towns
"
4,2019-20,24,MIN,NBA,C,35,35,1187,316,622,0.508,114,277,0.412,202,345,0.586,0.6,180,226,0.796,95,283,378,153,33,42,110,117,926,,0.0,"
Karl-Anthony Towns
"
5,2020-21,25,MIN,NBA,C,50,50,1689,425,875,0.486,122,315,0.387,303,560,0.541,0.555,267,311,0.859,133,396,529,225,39,57,160,186,1239,,0.0,"
Karl-Anthony Towns
"
6,2021-22,26,MIN,NBA,C,74,74,2476,642,1214,0.529,150,366,0.41,492,848,0.58,0.591,384,467,0.822,194,533,727,269,72,83,226,267,1818,,1.0,"
Karl-Anthony Towns
"
0,2016-17,19,DEN,NBA,SG,82,10,1764,295,730,0.404,115,344,0.334,180,386,0.466,0.483,106,120,0.883,41,173,214,170,51,24,113,124,811,,,"
Jamal Murray
"
1,2017-18,20,DEN,NBA,PG,81,80,2565,479,1062,0.451,165,436,0.378,314,626,0.502,0.529,229,253,0.905,82,215,297,274,79,28,172,173,1352,,,"
Jamal Murray
"
2,2018-19,21,DEN,NBA,PG,75,74,2447,513,1173,0.437,152,414,0.367,361,759,0.476,0.502,189,223,0.848,65,252,317,363,67,27,158,153,1367,,,"
Jamal Murray
"
3,2019-20,22,DEN,NBA,PG,59,59,1904,408,894,0.456,112,324,0.346,296,570,0.519,0.519,163,185,0.881,45,191,236,284,67,17,127,102,1091,,,"
Jamal Murray
"
4,2020-21,23,DEN,NBA,PG,48,48,1704,378,792,0.477,129,316,0.408,249,476,0.523,0.559,133,153,0.869,37,157,194,231,64,13,108,95,1018,,,"
Jamal Murray
"
0,2017-18,21,PHI,NBA,PG,81,81,2732,544,998,0.545,0,11,0.0,544,987,0.551,0.545,191,341,0.56,145,514,659,661,140,70,278,211,1279,,12.0,"
Ben Simmons
"
1,2018-19,22,PHI,NBA,PG,79,79,2700,540,960,0.563,0,6,0.0,540,954,0.566,0.563,257,428,0.6,172,525,697,610,112,61,274,209,1337,,10.0,"
Ben Simmons
"
2,2019-20,23,PHI,NBA,PG,57,57,2017,375,647,0.58,2,7,0.286,373,640,0.583,0.581,185,298,0.621,113,331,444,455,119,33,200,186,937,,6.0,"
Ben Simmons
"
3,2020-21,24,PHI,NBA,PG,58,58,1877,325,583,0.557,3,10,0.3,322,573,0.562,0.56,176,287,0.613,93,324,417,401,93,35,173,171,829,,4.0,"
Ben Simmons
"
0,2016-17,22,PHI,NBA,C,31,31,786,200,429,0.466,36,98,0.367,164,331,0.495,0.508,191,244,0.783,61,182,243,66,27,76,117,112,627,,0.0,"
Joel Embiid
"
1,2017-18,23,PHI,NBA,C,63,63,1912,510,1056,0.483,66,214,0.308,444,842,0.527,0.514,359,467,0.769,143,547,690,199,40,111,234,209,1445,,0.0,"
Joel Embiid
"
2,2018-19,24,PHI,NBA,C,64,64,2154,580,1199,0.484,79,263,0.3,501,936,0.535,0.517,522,649,0.804,160,711,871,234,46,122,226,211,1761,,2.0,"
Joel Embiid
"
3,2019-20,25,PHI,NBA,C,51,51,1506,382,801,0.477,57,172,0.331,325,629,0.517,0.512,351,435,0.807,141,452,593,152,45,65,159,174,1172,,0.0,"
Joel Embiid
"
4,2020-21,26,PHI,NBA,C,51,51,1585,461,899,0.513,58,154,0.377,403,745,0.541,0.545,471,548,0.859,113,426,539,145,50,69,159,123,1451,,0.0,"
Joel Embiid
"
5,2021-22,27,PHI,NBA,C,68,68,2297,666,1334,0.499,93,251,0.371,573,1083,0.529,0.534,654,803,0.814,146,650,796,284,77,99,214,181,2079,,2.0,"
Joel Embiid
"
0,2014-15,19,MIN,NBA,SF,82,82,2969,497,1137,0.437,39,126,0.31,458,1011,0.453,0.454,354,466,0.76,134,240,374,170,86,50,177,190,1387,,0.0,"
Andrew Wiggins
"
1,2015-16,20,MIN,NBA,SF,81,81,2845,594,1294,0.459,57,190,0.3,537,1104,0.486,0.481,430,565,0.761,105,186,291,164,78,46,182,165,1675,,0.0,"
Andrew Wiggins
"
2,2016-17,21,MIN,NBA,SF,82,82,3048,709,1570,0.452,103,289,0.356,606,1281,0.473,0.484,412,542,0.76,102,226,328,189,82,30,187,183,1933,,0.0,"
Andrew Wiggins
"
3,2017-18,22,MIN,NBA,SF,82,82,2979,569,1300,0.438,112,338,0.331,457,962,0.475,0.481,202,314,0.643,82,276,358,160,91,51,138,163,1452,,0.0,"
Andrew Wiggins
"
4,2018-19,23,MIN,NBA,SF,73,73,2543,498,1209,0.412,118,348,0.339,380,861,0.441,0.461,207,296,0.699,83,269,352,184,70,48,138,153,1321,,0.0,"
Andrew Wiggins
"
5,2019-20,24,TOT,NBA,SF,54,54,1858,437,978,0.447,111,334,0.332,326,644,0.506,0.504,190,268,0.709,66,208,274,198,45,53,132,127,1175,,1.0,"
Andrew Wiggins
"
6,2019-20,24,MIN,NBA,SF,42,42,1455,351,790,0.444,91,275,0.331,260,515,0.505,0.502,149,207,0.72,48,171,219,155,29,36,107,101,942,,1.0,"
Andrew Wiggins
"
7,2019-20,24,GSW,NBA,SF,12,12,403,86,188,0.457,20,59,0.339,66,129,0.512,0.511,41,61,0.672,18,37,55,43,16,17,25,26,233,,0.0,"
Andrew Wiggins
"
8,2020-21,25,GSW,NBA,PF,71,71,2364,505,1058,0.477,140,368,0.38,365,690,0.529,0.543,170,238,0.714,82,265,347,167,67,70,126,159,1320,,0.0,"
Andrew Wiggins
"
9,2021-22,26,GSW,NBA,SF,73,73,2329,475,1019,0.466,157,399,0.393,318,620,0.513,0.543,149,235,0.634,85,240,325,161,76,51,111,158,1256,,0.0,"
Andrew Wiggins
"
0,2016-17,22,TOR,NBA,PF,55,38,859,103,205,0.502,1,7,0.143,102,198,0.515,0.505,22,32,0.688,64,121,185,17,26,45,33,109,229,,0.0,"
Pascal Siakam
"
1,2017-18,23,TOR,NBA,PF,81,5,1679,253,498,0.508,29,132,0.22,224,366,0.612,0.537,54,87,0.621,79,285,364,159,62,42,67,166,589,,0.0,"
Pascal Siakam
"
2,2018-19,24,TOR,NBA,PF,80,79,2548,519,945,0.549,79,214,0.369,440,731,0.602,0.591,237,302,0.785,124,425,549,248,73,52,154,241,1354,,0.0,"
Pascal Siakam
"
3,2019-20,25,TOR,NBA,PF,60,60,2110,500,1104,0.453,131,365,0.359,369,739,0.499,0.512,240,303,0.792,64,375,439,207,61,53,148,170,1371,,0.0,"
Pascal Siakam
"
4,2020-21,26,TOR,NBA,PF,56,56,2006,437,961,0.455,73,246,0.297,364,715,0.509,0.493,249,301,0.827,95,310,405,250,64,37,130,174,1196,,1.0,"
Pascal Siakam
"
5,2021-22,27,TOR,NBA,PF,68,68,2578,596,1207,0.494,75,218,0.344,521,989,0.527,0.525,284,379,0.749,128,452,580,360,85,42,181,225,1551,,2.0,"
Pascal Siakam
"
0,2008-09,20,MIN,NBA,C,81,37,2048,316,688,0.459,2,19,0.105,314,669,0.469,0.461,265,336,0.789,274,460,734,84,35,50,118,205,899,,0.0,"
Kevin Love
"
1,2009-10,21,MIN,NBA,PF,60,22,1714,291,646,0.45,35,106,0.33,256,540,0.474,0.478,225,276,0.815,227,431,658,136,43,23,117,136,842,,0.0,"
Kevin Love
"
2,2010-11,22,MIN,NBA,PF,73,73,2611,482,1026,0.47,88,211,0.417,394,815,0.483,0.513,424,499,0.85,330,782,1112,184,45,28,155,148,1476,,0.0,"
Kevin Love
"
3,2011-12,23,MIN,NBA,PF,55,55,2145,474,1059,0.448,105,282,0.372,369,777,0.475,0.497,379,460,0.824,226,508,734,111,47,28,128,152,1432,,0.0,"
Kevin Love
"
4,2012-13,24,MIN,NBA,PF,18,18,618,105,298,0.352,20,92,0.217,85,206,0.413,0.386,100,142,0.704,64,188,252,42,13,9,39,34,330,,0.0,"
Kevin Love
"
5,2013-14,25,MIN,NBA,PF,77,77,2797,650,1421,0.457,190,505,0.376,460,916,0.502,0.524,520,633,0.821,224,739,963,341,59,35,196,136,2010,,3.0,"
Kevin Love
"
6,2014-15,26,CLE,NBA,PF,75,75,2532,413,952,0.434,144,392,0.367,269,560,0.48,0.509,258,321,0.804,142,589,731,168,51,39,122,140,1228,,0.0,"
Kevin Love
"
7,2015-16,27,CLE,NBA,PF,77,77,2424,409,977,0.419,158,439,0.36,251,538,0.467,0.499,258,314,0.822,149,613,762,186,58,41,142,159,1234,,0.0,"
Kevin Love
"
8,2016-17,28,CLE,NBA,PF,60,60,1885,370,867,0.427,145,389,0.373,225,478,0.471,0.51,257,295,0.871,148,518,666,116,53,21,122,125,1142,,0.0,"
Kevin Love
"
9,2017-18,29,CLE,NBA,C,59,59,1651,334,729,0.458,137,330,0.415,197,399,0.494,0.552,234,266,0.88,101,445,546,103,43,24,90,120,1039,,0.0,"
Kevin Love
"
10,2018-19,30,CLE,NBA,PF,22,21,598,109,283,0.385,53,147,0.361,56,136,0.412,0.479,103,114,0.904,33,206,239,48,6,5,42,54,374,,0.0,"
Kevin Love
"
11,2019-20,31,CLE,NBA,PF,56,56,1780,327,727,0.45,146,390,0.374,181,337,0.537,0.55,187,219,0.854,54,493,547,178,33,19,140,90,987,,0.0,"
Kevin Love
"
12,2020-21,32,CLE,NBA,PF,25,25,622,103,252,0.409,57,156,0.365,46,96,0.479,0.522,42,51,0.824,17,169,186,63,16,2,38,26,305,,0.0,"
Kevin Love
"
13,2021-22,33,CLE,NBA,PF,74,4,1665,327,761,0.43,187,477,0.392,140,284,0.493,0.553,166,198,0.838,87,449,536,160,26,18,98,101,1007,,0.0,"
Kevin Love
"
0,2013-14,22,POR,NBA,SG,38,0,476,74,178,0.416,30,80,0.375,44,98,0.449,0.5,23,34,0.676,7,41,48,27,14,2,35,53,201,,0.0,"
CJ McCollum
"
1,2014-15,23,POR,NBA,SG,62,3,973,159,365,0.436,55,139,0.396,104,226,0.46,0.511,51,73,0.699,14,77,91,64,43,8,48,81,424,,0.0,"
CJ McCollum
"
2,2015-16,24,POR,NBA,SG,80,80,2780,641,1431,0.448,197,472,0.417,444,959,0.463,0.517,187,226,0.827,47,212,259,341,97,23,196,187,1666,,0.0,"
CJ McCollum
"
3,2016-17,25,POR,NBA,SG,80,80,2796,692,1441,0.48,185,439,0.421,507,1002,0.506,0.544,268,294,0.912,60,229,289,285,72,42,172,202,1837,,0.0,"
CJ McCollum
"
4,2017-18,26,POR,NBA,SG,81,81,2923,667,1505,0.443,189,476,0.397,478,1029,0.465,0.506,209,250,0.836,53,268,321,272,77,35,151,168,1732,,0.0,"
CJ McCollum
"
5,2018-19,27,POR,NBA,SG,70,70,2375,571,1243,0.459,167,445,0.375,404,798,0.506,0.527,159,192,0.828,62,220,282,207,55,28,106,172,1468,,1.0,"
CJ McCollum
"
6,2019-20,28,POR,NBA,SG,70,70,2556,611,1356,0.451,194,512,0.379,417,844,0.494,0.522,140,185,0.757,46,251,297,310,54,42,127,183,1556,,0.0,"
CJ McCollum
"
7,2020-21,29,POR,NBA,SG,47,47,1600,405,884,0.458,169,420,0.402,236,464,0.509,0.554,108,133,0.812,30,155,185,223,44,21,65,87,1087,,0.0,"
CJ McCollum
"
8,2021-22,30,TOT,NBA,SG,62,62,2145,536,1164,0.46,182,469,0.388,354,695,0.509,0.539,116,170,0.682,53,216,269,315,70,22,127,121,1370,,0.0,"
CJ McCollum
"
